wavelength,forest,grass,soil,urban,water
762.56,0.17343000000000003,0.33018000000000003,0.18549,0.17013,0.02715
765.75,0.17625,0.33425,0.18685000000000002,0.17054999999999998,0.027230000000000004
768.95,0.17906,0.33834,0.18819999999999998,0.17096999999999998,0.027319999999999994
772.15,0.18188,0.34244,0.18953000000000003,0.17141,0.027379999999999998
775.34,0.18721,0.34907,0.19276,0.17395999999999998,0.027740000000000004
778.54,0.18753,0.35334000000000004,0.19358999999999998,0.17603000000000002,0.02818
781.74,0.18709,0.35317999999999994,0.19526000000000002,0.17319,0.027960000000000002
784.93,0.18799000000000002,0.35269000000000006,0.19444,0.17516,0.028249999999999997
788.13,0.18979000000000001,0.35848,0.197,0.17524999999999996,0.02893
791.33,0.19063999999999998,0.35989,0.19799999999999998,0.17553999999999997,0.028619999999999996
794.52,0.19146999999999997,0.36133000000000004,0.19898,0.17580999999999997,0.028329999999999994
797.72,0.19234,0.36274000000000006,0.19998999999999997,0.17608000000000001,0.02804
800.92,0.19316,0.36417,0.20099,0.17637,0.02776
804.11,0.19402000000000003,0.36558999999999997,0.20200999999999997,0.17664,0.02747
807.31,0.19488,0.367,0.20301,0.17692000000000002,0.02718
810.51,0.19573000000000002,0.36844,0.20400000000000001,0.17719000000000001,0.026880000000000005
813.7,0.19659,0.36985999999999997,0.205,0.17747,0.026589999999999996
816.9,0.19743000000000002,0.37124999999999997,0.20600999999999997,0.17776,0.02629
820.1,0.19827999999999998,0.3727,0.20700000000000002,0.17801000000000003,0.02601
823.29,0.19912000000000002,0.37411999999999995,0.20800999999999997,0.17830000000000001,0.025729999999999996
826.49,0.2,0.37554,0.209,0.17858000000000002,0.02544
829.68,0.20082,0.37695999999999996,0.21000000000000002,0.17886,0.025139999999999996
832.88,0.20168,0.37839,0.21101999999999999,0.17915999999999999,0.02485
836.08,0.20252000000000003,0.37982,0.21201999999999996,0.17942999999999998,0.024579999999999998
839.28,0.20337999999999998,0.38122,0.21302,0.1797,0.024280000000000003
842.47,0.20424000000000003,0.38265,0.21402000000000002,0.17998,0.02401
845.67,0.20522,0.38583,0.21528999999999998,0.17887000000000003,0.02323
848.86,0.20615999999999998,0.39188,0.22129,0.18420999999999996,0.023490000000000004
852.06,0.20488999999999996,0.38828000000000007,0.21555,0.18183,0.02316
855.26,0.20651000000000003,0.39152,0.21899000000000002,0.17969,0.022980000000000004
858.46,0.20262000000000002,0.37925,0.21261999999999998,0.17503,0.022269999999999998
861.65,0.20551999999999998,0.38952000000000003,0.21758000000000002,0.17884000000000003,0.022899999999999997
864.85,0.21409000000000003,0.4032000000000001,0.22691999999999996,0.18528000000000003,0.0233
868.04,0.20919000000000004,0.39495,0.21814,0.18039,0.023030000000000002
871.24,0.20232,0.38554000000000005,0.21494,0.17506,0.02113
874.44,0.20667999999999997,0.39025,0.21661999999999998,0.17851,0.021859999999999997
877.63,0.20511,0.38947,0.21637,0.17465000000000003,0.021060000000000002
880.83,0.21012,0.39556,0.21820999999999996,0.18079000000000003,0.021740000000000002
884.03,0.20971,0.39698,0.21974999999999997,0.17798999999999998,0.0213
887.22,0.21303,0.40210999999999997,0.22172,0.18351999999999996,0.02147
890.42,0.21103999999999998,0.40134,0.22018,0.18002,0.02171
893.62,0.2133,0.41154,0.22705999999999998,0.18234999999999998,0.02158
896.81,0.21365999999999996,0.41212,0.22689000000000004,0.18224,0.02158
900.01,0.21307,0.41181,0.22674000000000002,0.18168,0.02126
903.21,0.21266000000000002,0.41173000000000004,0.22646999999999995,0.1811,0.020950000000000003
906.4,0.21187,0.41107000000000005,0.22637999999999997,0.18063,0.020649999999999998
909.6,0.21119,0.41061,0.22623000000000001,0.18012,0.020340000000000004
912.8,0.21059,0.41023999999999994,0.22605,0.17959999999999998,0.02004
915.99,0.20981,0.40957,0.22596,0.17912,0.019730000000000004
919.19,0.2088,0.40857,0.22595,0.17875000000000002,0.01941
922.39,0.20768999999999999,0.40736999999999995,0.22599,0.17841,0.019119999999999998
925.58,0.20668999999999998,0.40634999999999993,0.22599,0.17803000000000002,0.01881
928.78,0.20573000000000002,0.40543000000000007,0.22594000000000003,0.17762,0.0185
931.98,0.20473,0.40435999999999994,0.22593000000000002,0.17724,0.01821
935.17,0.20302000000000003,0.40207,0.22604000000000002,0.17692,0.01788
938.37,0.20146999999999998,0.40002000000000004,0.22607,0.17658000000000001,0.017599999999999998
941.57,0.20004000000000005,0.39821999999999996,0.22604000000000002,0.17621,0.01729
944.76,0.19893999999999998,0.39695,0.22601,0.17577,0.016970000000000002
947.96,0.19754,0.39527,0.22610999999999998,0.17551,0.01666
951.16,0.19602,0.39328,0.22632,0.17528000000000002,0.01638
954.35,0.19458,0.39148,0.22643999999999997,0.17502,0.016059999999999998
957.55,0.19340000000000002,0.39012,0.22641,0.17462000000000003,0.01576
960.75,0.19240000000000002,0.38899999999999996,0.22632000000000002,0.17413,0.01545
963.94,0.19133999999999998,0.3877999999999999,0.2262,0.17368,0.01514
967.14,0.19032,0.38661,0.22603,0.17316,0.014849999999999999
970.1,0.18929999999999997,0.38543000000000005,0.22585000000000002,0.17261,0.014529999999999998
975.54,0.18846000000000002,0.38456,0.22564,0.17209,0.01424
980.98,0.18711999999999998,0.38327,0.22529,0.17116000000000003,0.01372
